userId, movieId, real rating, predict rating, SSE
547, 1, 3.5, 3.934541325416494, 0.18882616349472336
547, 6, 2.5, 3.586965206511906, 1.1814933601674704
564, 1, 4.0, 4.512764691507063, 0.2629276288563334
564, 2, 4.0, 3.846634522561484, 0.0235209696699439
624, 1, 5.0, 4.205599385049537, 0.6310723370336745
624, 2, 3.0, 2.8929601846508946, 0.011457522069970591
15, 1, 2.0, 4.810059329321042, 7.896433434304226
15, 2, 2.0, 2.625348048061916, 0.3910601812148484
73, 1, 5.0, 4.140727989173961, 0.7383483885890252
73, 2, 2.5, 3.0, 0.25
452, 1, 3.5, 4.186099782447814, 0.47073291147493723
452, 3, 1.0, 3.6714839875151104, 7.136826695549635
468, 1, 4.0, 3.9150717698432476, 0.007212804277558315
468, 2, 2.0, 2.5, 0.25
380, 1, 4.0, 4.241521807176693, 0.05833278334189574
380, 6, 4.0, 3.3184683183843977, 0.4644854330457907
311, 1, 3.0, 4.68663131584504, 2.8447251955891715
311, 6, 4.0, 3.005408062930187, 0.9892131212842831
30, 1, 4.0, 3.6455479399245143, 0.12563626289175572
30, 2, 2.0, 4.0, 4.0
294, 1, 4.0, 4.079226474360632, 0.006276834239615865
294, 5, 3.5, 3.5841269841269843, 0.007077349458301864
509, 1, 3.0, 3.2727970147176806, 0.07441821123887844
509, 3, 2.0, 3.3686210640608034, 1.8731236169909258
580, 1, 4.0, 3.4870021644025333, 0.26316677932768545
580, 2, 3.5, 2.4618926584138605, 1.0776668526550417
213, 1, 3.0, 3.7325160331425615, 0.5365797388109143
213, 2, 3.0, 2.5, 0.25
212, 1, 3.0, 4.1259080833775945, 1.2676690122150083
212, 2, 3.0, 3.1092677345537756, 0.011939437814514363
472, 1, 5.0, 4.1086852029249945, 0.7944420674848582
472, 6, 3.0, 3.6755144066701453, 0.45631971361891843
388, 6, 5.0, 4.0, 1.0
388, 10, 2.0, 2.782843375135706, 0.6128437499938634
23, 1, 3.0, 4.261258172202739, 1.590772176948194
23, 6, 3.5, 4.40974623564388, 0.8276382132682094
457, 1, 1.5, 3.5685907866016175, 4.279067842413099
457, 3, 1.5, 3.0000000000000004, 2.2500000000000013
518, 1, 5.0, 3.920279888429048, 1.1657955193307892
518, 2, 4.0, 4.0, 0.0
461, 1, 3.5, 5.0, 2.25
461, 4, 1.5, 2.8400576368876083, 1.795754470180801
232, 1, 3.0, 4.046249206800394, 1.094637402730454
232, 11, 4.0, 3.9691176470588236, 0.0009537197231833843
102, 14, 4.0, 4.0, 0.0
102, 25, 4.0, 4.999999999999999, 0.9999999999999982
262, 1, 2.5, 4.240909486833516, 3.030765841346936
262, 2, 2.0, 2.0, 0.0
475, 1, 4.5, 3.841156685610787, 0.4340745129153633
475, 16, 4.0, 2.7572741194486983, 1.5443676141920082
306, 1, 3.0, 3.6911836621299843, 0.4777348547954163
306, 2, 4.0, 3.5213697944706244, 0.22908687364509236
119, 1, 2.0, 3.7691431355525333, 3.1298674340726493
119, 2, 3.0, 3.503912363067293, 0.25392766965206315
654, 1, 5.0, 3.8980831663774973, 1.2142207082206422
654, 2, 3.0, 4.068910256410256, 1.14256913625904
358, 1, 5.0, 4.221237617837682, 0.6064708478711285
358, 3, 1.0, 3.183739837398374, 4.768719677440676
529, 1, 4.0, 4.492023502925448, 0.24208712743102795
529, 17, 4.5, 4.0, 0.25
575, 1, 3.0, 3.9694914160151042, 0.9399136057269719
575, 2, 4.0, 5.0, 1.0
105, 6, 3.0, 3.299245351327037, 0.08954778029084168
105, 10, 3.5, 3.0, 0.25
56, 1, 4.0, 3.30841633245742, 0.47828796921164574
56, 10, 4.0, 3.3189559989505466, 0.4638209313654479
353, 1, 3.5, 4.0, 0.25
353, 2, 2.0, 2.5944123314065513, 0.35332601972817174
664, 1, 3.5, 4.641321156506179, 1.3026139822886023
664, 6, 4.0, 3.3208964522331526, 0.46118162858951883
48, 1, 4.0, 3.884671793930819, 0.013300595115135512
48, 2, 3.5, 4.0, 0.25
587, 25, 4.0, 3.9257056231055247, 0.00551965443813834
587, 34, 3.5, 3.5968306842530295, 0.009376181412909903
165, 1, 2.5, 3.9348875555209797, 2.0589022969889728
165, 2, 3.0, 3.98659539841557, 0.9733704801747777
596, 1, 3.5, 4.224576385928234, 0.5250109390448213
596, 6, 4.0, 3.700460473005348, 0.08972392823217994
195, 6, 4.0, 3.817154342254446, 0.03343253455640425
195, 25, 3.0, 4.487427281682808, 2.2124399182943075
384, 10, 3.5, 3.380146210252023, 0.014364930916952224
384, 19, 3.0, 2.5, 0.25
463, 1, 3.0, 3.6354277361690337, 0.4037684078929031
463, 7, 4.0, 3.3575883575883574, 0.41269271830602416
605, 3, 2.0, 3.7595917942265427, 3.0961632823093836
605, 11, 3.0, 3.052873563218391, 0.002795613687409188
481, 1, 4.0, 4.029837947134285, 0.0008903030891884065
481, 16, 4.0, 5.0, 1.0
665, 2, 3.0, 2.0, 1.0
665, 3, 3.0, 4.0, 1.0
607, 1, 4.5, 3.858617959868473, 0.41137092140327985
607, 2, 3.0, 3.499457235110194, 0.24945752970391963
19, 1, 3.0, 4.5861878744065345, 2.5159919729143203
19, 2, 3.0, 3.7624669739963315, 0.5813558864351224
199, 6, 4.5, 3.548606223010849, 0.9051501188936827
199, 10, 2.5, 3.0, 0.25
285, 1, 4.0, 3.5981000209448863, 0.1615235931645008
285, 2, 3.0, 2.0, 1.0
150, 1, 3.0, 4.028783650184628, 1.0583957988872064
150, 2, 3.0, 5.0, 4.0
SSE: 99.80602972220329
